user_id,month,cate_liquidity_protection,cate_obligation_management,cate_spending_control
0,2026-03-01,0.21113286959214417,-0.0807938204815783,0.02622553005043854
0,2026-04-01,0.07189808164519682,0.02304728766233327,0.15412427317451585
0,2026-05-01,0.21661427055832777,-0.06511541857072586,-0.014239396155338313
0,2026-06-01,0.05475871412230657,0.07787034933080159,-0.06326404059742563
0,2026-07-01,0.0831611767077727,0.01838015688364303,-0.05380094437446736
0,2026-08-01,0.0831611767077727,-0.0023090270778016453,-0.10353342336177729
0,2026-09-01,0.17762312228011753,0.010816049977303094,0.027706661035821145
0,2026-10-01,0.12406911566469622,-0.12125855040872588,-0.04075058020520872
0,2026-11-01,0.17762312228011753,0.010816049977303094,-0.026952224218507626
1,2026-03-01,0.057061668000718796,-0.15433839477316788,0.08247924365395876
1,2026-04-01,0.15515465012308371,-0.17630427631961856,0.14413883425474705
1,2026-05-01,0.0193823896651672,-0.09960210791051125,0.19815541411734297
1,2026-06-01,0.15007304691850282,-0.043177026208238684,0.17669522033882576
1,2026-07-01,0.20444724729639602,-0.11585655987397175,-0.045123271745406646
1,2026-08-01,0.05680559870362584,0.032816560015890145,0.0640879481147471
1,2026-09-01,0.1383087616995266,-0.026213835239831756,-0.04060221735941599
1,2026-10-01,0.19366960792510335,-0.09240678130716531,-0.03998887354808456
1,2026-11-01,0.017831117736434088,0.04210674951186116,-0.11418540230067836
2,2026-03-01,0.11397186508769486,-0.33807200358768913,0.060346506707526476
2,2026-04-01,0.18136970258332522,-0.21704887856892197,0.057231527403416776
