salary_income,bonus_income,total_income,total_debits,variable_spending,essential_spending,discretionary_spending,recurring_spending,transaction_count,debit_transaction_count,credit_transaction_count,transactions_per_day,debit_transactions_per_day,average_transaction,median_transaction,transaction_amount_std,starting_balance,ending_balance,minimum_balance,maximum_balance,average_balance,net_cash_flow,savings_rate,income_to_expense_ratio,essential_spending_ratio,discretionary_spending_ratio,minimum_balance_ratio,average_balance_ratio,balance_change,state_changed,state_duration,recent_state_change,historical_spending_mean,historical_spending_std,spending_baseline_deviation,spending_baseline_ratio,transaction_count_change,savings_rate_change,rolling_spending_mean,rolling_spending_std,rolling_spending_min,rolling_spending_max,rolling_income_mean,income_volatility,rolling_average_balance,rolling_minimum_balance,rolling_savings_rate,rolling_transaction_count,rolling_net_cash_flow,spending_growth,discretionary_spending_growth,income_growth,balance_growth,spending_acceleration,cash_buffer,cash_buffer_ratio,expense_pressure,discretionary_pressure,negative_cash_flow,category_shift,has_full_history
53412.39,0.0,53412.39,52445.65000000001,27122.88,13483.4,13639.48,25322.77,105,104,1,3.5,3.466666666666667,1008.1718095238097,145.74,5420.396966992216,106831.89,107798.63,94493.92,147906.31,122980.38057142858,966.7399999999908,0.0180995458169909,1.018433177966142,0.4971227244304441,0.5028772755695561,1.7691385837630558,2.3024691569021454,966.7400000000052,True,1,1,22174.23,2775.7759538190403,4948.649999999998,1.223171221729007,-15.0,-0.2031621564052767,23823.78,3466.33981028981,20211.46,27122.88,57156.363333333335,3289.794848168095,112870.90496398049,60546.85,0.1364296772520914,118.33333333333331,8009.813333333327,0.3419555044514348,1.864089168122564,-0.0865273516464346,0.0090491706175002,0.5045912918318053,94493.92,1.7691385837630558,0.981900454183009,0.2553617241243089,0,0.3792321455451762,True
31505.48,0.0,31505.48,26541.81,7778.120000000001,5785.8,1992.32,18763.69,152,151,1,5.066666666666666,5.033333333333333,381.8900657894737,40.77,2670.938877825324,71821.2,76784.87,48136.43,79641.91,62648.98151315789,4963.670000000002,0.157549416799871,1.187013244386875,0.7438558417715334,0.2561441582284665,1.5278748332036205,1.988510618253012,4963.669999999998,True,4,1,7186.502857142857,2209.0004734095937,591.6171428571442,1.0823233712721787,7.0,-0.0408581723480505,6994.873333333334,683.5051686954027,6519.15,7778.120000000001,31072.11,970.6675271688003,58255.66883314029,38022.35,0.1706925107706306,140.0,5313.546666666668,0.1631094529223087,0.3492526801254227,-0.0077201690676711,0.0691114879729104,0.1373085432945198,48136.43,1.5278748332036205,0.8424505832001289,0.063237252693817,0,0.1164579214297782,True
20941.6,0.0,20941.6,16436.840000000004,9515.05,5648.74,3866.31,6921.79,172,171,1,5.733333333333333,5.7,217.31651162790695,47.305,1623.4190338293608,80914.71,85419.47,66321.18,87262.78,74070.38511627907,4504.759999999995,0.2151105932688999,1.2740648445808314,0.5936637222085013,0.4063362777914987,3.1669585896015584,3.5369974174026373,4504.759999999995,True,2,1,10886.511428571428,2149.111842680045,-1371.4614285714288,0.8740219548227308,-23.0,-0.0367304067311,10923.02,3787.2707282289703,8041.389999999999,15212.62,23275.016666666663,4879.810035322414,67645.54261326022,49624.66,0.2335387335031261,174.66666666666666,5430.206666666665,0.1832593618764915,0.3823554649790837,0.04708,0.0556729425341819,0.654659423141415,66321.18,3.1669585896015584,0.7848894067311001,0.184623428964358,0,0.1893569713052924,True
23034.89,0.0,23034.89,19250.37,6883.76,4155.2,2728.56,12366.61,93,92,1,3.1,3.066666666666667,454.6802150537634,70.06,2490.9410128350823,66651.73,70436.25,47620.07,70654.96,53123.87440860216,3784.52,0.1642951192734152,1.1965946628558308,0.6036236010552372,0.3963763989447627,2.0673018191100545,2.3062352113946347,3784.520000000004,False,4,0,7739.394285714286,798.4693472692435,-855.6342857142854,0.8894442828305501,-4.0,0.0257806742104377,7426.823333333334,508.9482425879192,6883.76,7892.88,23407.013333333336,618.3705777552209,49483.61079513543,39608.75,0.1542975929066592,95.33333333333331,3613.58,-0.0826338016719461,0.2085680875943445,-0.0013192966757018,0.0567805216758816,-0.0333425417009342,47620.07,2.0673018191100545,0.8357048807265848,0.11845335488904,0,0.1114096330182285,True
20145.1,0.0,20145.1,14712.009999999998,3634.710000000001,1729.5499999999995,1905.16,11077.3,113,112,1,3.7666666666666666,3.733333333333333,308.4699999999999,27.46,2066.7532614491533,56026.47,61459.56,41736.46,61881.56,46246.66672566371,5433.09,0.2696978421551643,1.369296241642033,0.4758426394402853,0.5241573605597144,2.071792147966503,2.295678191007427,5433.0899999999965,False,6,0,4526.045,816.1445459659701,-891.3349999999996,0.8030653694340203,9.0,0.0142253421551642,3873.77,274.3724935192995,3634.710000000001,4173.349999999999,20237.33,294.48403640943644,41407.274798680526,30813.53,0.2612185679404717,110.33333333333331,5286.259999999999,-0.0468209532550973,0.1988019279898312,0.007255,0.0969736269302705,0.0394646446458691,41736.46,2.071792147966503,0.7303021578448357,0.0945718810033209,0,0.1092331723679025,True
82334.32,0.0,82334.32,70692.26999999999,23267.13,17282.989999999998,5984.139999999999,47425.14,134,133,1,4.466666666666667,4.433333333333334,1141.9894776119402,154.87,7729.225433419868,238305.78,249947.83,186674.47,269008.79,241736.66291044772,11642.050000000016,0.1413997224972528,1.164686322846897,0.7428071274798395,0.2571928725201604,2.267274084488704,2.9360376439672757,11642.049999999988,True,2,1,21818.821666666667,1533.574753253544,1448.3083333333343,1.0663788519590849,20.0,-0.0174316769843332,21175.460000000003,2053.5267611355853,19162.33,23267.13,80791.25,1588.6337150835031,229384.9214177063,172226.2,0.1510038847408031,124.0,12190.650000000009,0.2142119460420521,1.5100731947735992,0.0400912473327981,0.0488534101019286,0.3059120615091438,186674.47,2.267274084488704,0.8586002775027471,0.0726809913533019,0,0.11991440477991,True
36530.12,0.0,36530.12,28066.85,7422.33,4250.379999999999,3171.95,20644.52,96,95,1,3.2,3.1666666666666665,672.8851041666667,79.56,4062.6006873715214,73974.13,82437.4,46030.15,82560.27,52168.6303125,8463.27,0.2316792279904911,1.3015397167833227,0.572647672631101,0.4273523273688989,1.2600601914255962,1.4280990676324083,8463.26999999999,False,4,0,7801.634,2381.437805597702,-379.3040000000001,0.9513814670106288,-7.0,-0.0458609464398985,9152.88,2213.267819334117,7422.33,11646.79,39085.64000000001,4865.427103184266,41887.98411711165,25812.24,0.2344667013239118,100.66666666666669,9288.240000000003,-0.3627145333606941,0.0617796805907495,-0.1827044451514374,0.1144085101102234,-0.7509691653301037,46030.15,1.2600601914255962,0.7683207720095089,0.0868310862378771,0,0.2570062671127495,True
29069.96,0.0,29069.96,22583.23,8991.679999999998,6357.15,2634.53,13591.55,162,161,1,5.4,5.366666666666666,318.8468518518518,44.565,2351.1993135563107,79090.89,85577.62,71674.46,100744.42,88654.95308641977,6486.73,0.2231420339071674,1.2872365910456565,0.7070035855368519,0.2929964144631482,2.465585091964351,3.049710184892576,6486.729999999996,True,2,1,8964.96,152.09866863322534,26.719999999999345,1.0029804929414077,8.0,-0.0193201152850979,8973.866666666667,108.6507645317472,8857.41,9072.509999999998,28772.36,1042.8977047150909,82581.28098407354,59535.77,0.2149431610192256,160.33333333333334,6206.943333333333,0.0151590589122552,0.061121001458043,-0.0190371838398386,0.0820161462337822,0.0388680435262152,71674.46,2.465585091964351,0.7768579660928326,0.0906272316852173,0,0.0855651398347174,True
24698.92,0.0,24698.92,30176.220000000005,9268.520000000002,1591.5699999999997,7676.95,20907.7,100,99,1,3.333333333333333,3.3,548.7513999999999,20.0,2776.008206469117,79103.05,73625.75,71241.89,95940.81,81594.2346,-5477.300000000007,-0.2217627329454084,0.8184895258584407,0.1717178147104391,0.8282821852895605,2.884413164624202,3.30355475462085,-5477.300000000003,True,1,1,3464.5,700.7385898464565,5804.020000000002,2.6752835907057304,-4.0,-0.2909494052960057,5130.443333333334,3584.178665835918,3001.59,9268.520000000002,25493.86,718.2778133146012,81418.48623117998,67305.49,-0.0244526812929912,102.33333333333331,-544.2833333333352,2.087870095516044,6.655743590254994,-0.0384455617650552,-0.069242589255408,2.126198057018277,71241.89,2.884413164624202,1.2217627329454084,0.310821282873907,1,0.4348555419581045,True
21665.58,0.0,21665.58,21664.87,4520.73,3329.25,1191.48,17144.14,212,211,1,7.066666666666666,7.033333333333333,204.3889150943396,20.0,1650.1759815684095,43465.64,43466.35,22423.68,44089.26,29123.3916509434,0.7100000000027649,3.277087435474909e-05,1.0000327719483202,0.7364407960661221,0.2635592039338779,1.0349909857017443,1.3442239557373217,0.7099999999991269,True,4,1,5037.022857142857,2370.110244100573,-516.2928571428574,0.8975003942237988,23.0,0.0435372708743547,4797.196666666667,1232.950620963116,3725.95,6144.91,20555.193333333333,961.6230613568584,30029.870905832893,22423.68,-0.0693080763752151,190.66666666666663,-1386.1433333333334,0.2133093573451063,0.2707628971534006,0.0832790000000001,1.6334741648860174e-05,0.6069619901745538,22423.68,1.0349909857017443,0.9999672291256452,0.0549941427831611,0,0.0736415844279516,True
