user_id,month,financial_stress_30d,feature,feature_value,shap_value,direction,absolute_shap
24,2026-10-01,0,minimum_balance_ratio,0.9670855857016672,-0.310073491425137,decreases_stress_risk,0.310073491425137
24,2026-10-01,0,rolling_average_balance,72838.60116097202,-0.24259991419501603,decreases_stress_risk,0.24259991419501603
24,2026-10-01,0,expense_pressure,0.7753832932800607,-0.225498812761507,decreases_stress_risk,0.225498812761507
24,2026-10-01,0,average_balance_ratio,1.5842377411504098,-0.21483124033315107,decreases_stress_risk,0.21483124033315107
24,2026-10-01,0,rolling_transaction_count,77.66666666666667,-0.12772069975500927,decreases_stress_risk,0.12772069975500927
24,2026-10-01,0,income_volatility,4191.274625329794,0.12743761409656146,increases_stress_risk,0.12743761409656146
24,2026-10-01,0,recurring_spending,31975.58,0.12037378673441708,increases_stress_risk,0.12037378673441708
24,2026-10-01,0,income_growth,0.1152146968415657,-0.11307630391849671,decreases_stress_risk,0.11307630391849671
24,2026-10-01,0,balance_growth,0.1400221532190642,-0.10571146304951981,decreases_stress_risk,0.10571146304951981
24,2026-10-01,0,rolling_net_cash_flow,9969.766666666665,-0.08002120601013303,decreases_stress_risk,0.08002120601013303
936,2026-11-01,0,minimum_balance_ratio,2.614542169331026,-0.3105671105365036,decreases_stress_risk,0.3105671105365036
936,2026-11-01,0,rolling_average_balance,88957.29638118489,-0.24430309161136393,decreases_stress_risk,0.24430309161136393
936,2026-11-01,0,average_balance_ratio,2.8995890560156203,-0.2257467156497296,decreases_stress_risk,0.2257467156497296
936,2026-11-01,0,expense_pressure,0.6778636034577927,-0.20844747750554235,decreases_stress_risk,0.20844747750554235
936,2026-11-01,0,recurring_spending,10922.81,-0.15821926605189218,decreases_stress_risk,0.15821926605189218
936,2026-11-01,0,income_growth,0.3343238095238094,-0.1438878858956741,decreases_stress_risk,0.1438878858956741
936,2026-11-01,0,income_volatility,4095.1446063885696,0.12243542252952466,increases_stress_risk,0.12243542252952466
936,2026-11-01,0,rolling_transaction_count,162.66666666666666,0.08817623572191223,increases_stress_risk,0.08817623572191223
936,2026-11-01,0,median_transaction,50.75,0.08771697765390854,increases_stress_risk,0.08771697765390854
936,2026-11-01,0,savings_rate_change,0.3884054715285237,0.07868754740513395,increases_stress_risk,0.07868754740513395
925,2026-10-01,0,minimum_balance_ratio,2.8723259790984903,-0.3449529772280948,decreases_stress_risk,0.3449529772280948
925,2026-10-01,0,rolling_average_balance,122829.73490850844,-0.29693455500702837,decreases_stress_risk,0.29693455500702837
925,2026-10-01,0,average_balance_ratio,3.469680573828857,-0.2715645401366055,decreases_stress_risk,0.2715645401366055
925,2026-10-01,0,income_volatility,1059.8728629573015,-0.22339558886073063,decreases_stress_risk,0.22339558886073063
925,2026-10-01,0,spending_baseline_deviation,8210.962222222224,-0.13749561660108156,decreases_stress_risk,0.13749561660108156
925,2026-10-01,0,expense_pressure,1.0242263274569827,0.13638196064624936,increases_stress_risk,0.13638196064624936
925,2026-10-01,0,balance_growth,-0.0076843444417816,0.09602224383939756,increases_stress_risk,0.09602224383939756
925,2026-10-01,0,state_changed,1.0,-0.0952968432509806,decreases_stress_risk,0.0952968432509806
925,2026-10-01,0,category_shift,0.0982374385035044,0.06908451081195381,increases_stress_risk,0.06908451081195381
925,2026-10-01,0,essential_spending_ratio,0.8153004399834736,0.06349409157468472,increases_stress_risk,0.06349409157468472
144,2026-11-01,0,minimum_balance_ratio,2.065430702017578,-0.3287311932974262,decreases_stress_risk,0.3287311932974262
144,2026-11-01,0,rolling_average_balance,75191.41299323108,-0.2158947426546365,decreases_stress_risk,0.2158947426546365
144,2026-11-01,0,average_balance_ratio,2.4431044563728657,-0.20875536617590115,decreases_stress_risk,0.20875536617590115
144,2026-11-01,0,expense_pressure,0.7517277111431477,-0.19685178028652445,decreases_stress_risk,0.19685178028652445
144,2026-11-01,0,spending_baseline_ratio,0.7486141188918249,0.11085967929451726,increases_stress_risk,0.11085967929451726
144,2026-11-01,0,spending_baseline_deviation,-3834.280999999999,0.10899364631535718,increases_stress_risk,0.10899364631535718
144,2026-11-01,0,recurring_spending,14262.42,-0.08709952634730143,decreases_stress_risk,0.08709952634730143
144,2026-11-01,0,balance_growth,0.0899593283719022,-0.08530343459919094,decreases_stress_risk,0.08530343459919094
144,2026-11-01,0,median_transaction,58.14,0.08355931801255792,increases_stress_risk,0.08355931801255792
144,2026-11-01,0,rolling_net_cash_flow,7835.943333333334,-0.08137261502677574,decreases_stress_risk,0.08137261502677574
977,2026-10-01,0,rolling_average_balance,39373.30708556654,0.4605298031488201,increases_stress_risk,0.4605298031488201
977,2026-10-01,0,minimum_balance_ratio,1.3303567113236685,-0.3216012200294063,decreases_stress_risk,0.3216012200294063
977,2026-10-01,0,expense_pressure,0.772833414269834,-0.2347197642881656,decreases_stress_risk,0.2347197642881656
977,2026-10-01,0,average_balance_ratio,1.990773465850281,-0.21815814060159028,decreases_stress_risk,0.21815814060159028
977,2026-10-01,0,income_growth,0.3527034330573737,-0.1883786895198864,decreases_stress_risk,0.1883786895198864
977,2026-10-01,0,recurring_spending,12146.82,-0.14830052561155754,decreases_stress_risk,0.14830052561155754
977,2026-10-01,0,balance_growth,0.1461183807706745,-0.1095719842595281,decreases_stress_risk,0.1095719842595281
977,2026-10-01,0,spending_baseline_ratio,0.756123966762692,0.10847418424906209,increases_stress_risk,0.10847418424906209
977,2026-10-01,0,state_changed,0.0,0.06713613312167581,increases_stress_risk,0.06713613312167581
977,2026-10-01,0,historical_spending_std,2934.858207201461,0.06288171825872269,increases_stress_risk,0.06288171825872269
790,2026-10-01,0,minimum_balance_ratio,2.82337951399441,-0.3135577889051638,decreases_stress_risk,0.3135577889051638
790,2026-10-01,0,rolling_average_balance,89155.09405150604,-0.246054943058989,decreases_stress_risk,0.246054943058989
790,2026-10-01,0,average_balance_ratio,3.2511417815567487,-0.2165985049633309,decreases_stress_risk,0.2165985049633309
790,2026-10-01,0,expense_pressure,0.6630326894909216,-0.21600680273841136,decreases_stress_risk,0.21600680273841136
790,2026-10-01,0,income_growth,-0.1025856441022319,0.16754631460527888,increases_stress_risk,0.16754631460527888
790,2026-10-01,0,balance_growth,0.0993811004249092,-0.07490647533442825,decreases_stress_risk,0.07490647533442825
790,2026-10-01,0,rolling_transaction_count,109.66666666666669,-0.0709194552100962,decreases_stress_risk,0.0709194552100962
790,2026-10-01,0,spending_baseline_deviation,-3381.0099999999984,0.06693267330381786,increases_stress_risk,0.06693267330381786
790,2026-10-01,0,rolling_net_cash_flow,9623.696666666669,-0.06597006087482442,decreases_stress_risk,0.06597006087482442
790,2026-10-01,0,recurring_spending,3696.03,-0.05933046546095284,decreases_stress_risk,0.05933046546095284
128,2026-10-01,0,minimum_balance_ratio,2.9785472444042025,-0.3677388619171688,decreases_stress_risk,0.3677388619171688
128,2026-10-01,0,average_balance_ratio,3.3235954618996284,-0.31829402364906856,decreases_stress_risk,0.31829402364906856
