user_id,month,intervention_category,cate,predicted_outcome_control,predicted_outcome_treatment,recommended_action
4,2026-09-01,LIQUIDITY_PROTECTION,-0.08063536883653277,0.33629953811902985,0.2556641692824971,LIQUIDITY_PROTECTION
32,2026-09-01,LIQUIDITY_PROTECTION,-0.2307896669991552,0.3431349617901807,0.11234529479102551,LIQUIDITY_PROTECTION
53,2026-09-01,LIQUIDITY_PROTECTION,-0.24507534623116367,0.3704220278749098,0.12534668164374613,LIQUIDITY_PROTECTION
58,2026-09-01,LIQUIDITY_PROTECTION,0.1029718269728546,0.12073880714544875,0.22371063411830336,NO_SIMULATED_BENEFIT
68,2026-09-01,LIQUIDITY_PROTECTION,-0.24997147659577307,0.3705107793318688,0.12053930273609574,LIQUIDITY_PROTECTION
84,2026-09-01,LIQUIDITY_PROTECTION,-0.26784788924007097,0.37125130519236854,0.1034034159522976,LIQUIDITY_PROTECTION
92,2026-09-01,LIQUIDITY_PROTECTION,-0.11847441510133457,0.2356163428953017,0.11714192779396713,LIQUIDITY_PROTECTION
96,2026-09-01,LIQUIDITY_PROTECTION,0.1221192485328412,0.11982802550910565,0.24194727404194685,NO_SIMULATED_BENEFIT
115,2026-09-01,LIQUIDITY_PROTECTION,0.2250987773828969,0.09981794048143137,0.3249167178643283,NO_SIMULATED_BENEFIT
123,2026-09-01,LIQUIDITY_PROTECTION,0.015696387824817526,0.21758010577725154,0.23327649360206906,NO_SIMULATED_BENEFIT
136,2026-09-01,LIQUIDITY_PROTECTION,0.029434996041604378,0.20450547753000728,0.23394047357161166,NO_SIMULATED_BENEFIT
169,2026-09-01,LIQUIDITY_PROTECTION,0.2024313962673388,0.09487216218565309,0.2973035584529919,NO_SIMULATED_BENEFIT
178,2026-09-01,LIQUIDITY_PROTECTION,-0.05474387460859792,0.3796237675774448,0.3248798929688469,LIQUIDITY_PROTECTION
195,2026-09-01,LIQUIDITY_PROTECTION,-0.052280150941717785,0.11486372991635764,0.06258357897463986,LIQUIDITY_PROTECTION
200,2026-09-01,LIQUIDITY_PROTECTION,0.05997158100819136,0.21862797833015843,0.2785995593383498,NO_SIMULATED_BENEFIT
229,2026-09-01,LIQUIDITY_PROTECTION,-0.06109570684700158,0.26383231716754424,0.20273661032054266,LIQUIDITY_PROTECTION
237,2026-09-01,LIQUIDITY_PROTECTION,-0.13951363826506458,0.35567953061473107,0.2161658923496665,LIQUIDITY_PROTECTION
260,2026-09-01,LIQUIDITY_PROTECTION,-0.051123696635102314,0.12233536368725031,0.071211667052148,LIQUIDITY_PROTECTION
279,2026-09-01,LIQUIDITY_PROTECTION,-0.09126232511612081,0.34394931090041986,0.25268698578429905,LIQUIDITY_PROTECTION
318,2026-09-01,LIQUIDITY_PROTECTION,-0.131077625169769,0.23888068258619635,0.10780305741642733,LIQUIDITY_PROTECTION
319,2026-09-01,LIQUIDITY_PROTECTION,0.058391828967780446,0.11715055701944119,0.17554238598722163,NO_SIMULATED_BENEFIT
341,2026-09-01,LIQUIDITY_PROTECTION,-0.05529737429018443,0.11992781986243682,0.06463044557225239,LIQUIDITY_PROTECTION
352,2026-09-01,LIQUIDITY_PROTECTION,-0.031154170619038635,0.2371943984887063,0.20604022786966766,LIQUIDITY_PROTECTION
357,2026-09-01,LIQUIDITY_PROTECTION,-0.09342927272117627,0.23566603077433185,0.14223675805315558,LIQUIDITY_PROTECTION
358,2026-09-01,LIQUIDITY_PROTECTION,-0.24596173821529504,0.37412016778047524,0.1281584295651802,LIQUIDITY_PROTECTION
361,2026-09-01,LIQUIDITY_PROTECTION,-0.11101955803129857,0.2270221420772263,0.11600258404592773,LIQUIDITY_PROTECTION
362,2026-09-01,LIQUIDITY_PROTECTION,-0.019158363901988995,0.31131562242131045,0.29215725851932145,LIQUIDITY_PROTECTION
372,2026-09-01,LIQUIDITY_PROTECTION,0.1501989623296263,0.12771953412346757,0.27791849645309386,NO_SIMULATED_BENEFIT
391,2026-09-01,LIQUIDITY_PROTECTION,-0.12086223442871752,0.23541991208111968,0.11455767765240216,LIQUIDITY_PROTECTION
412,2026-09-01,LIQUIDITY_PROTECTION,-0.04886249414471287,0.12419477285094382,0.07533227870623095,LIQUIDITY_PROTECTION
416,2026-09-01,LIQUIDITY_PROTECTION,-0.12935546711194787,0.3685850160151069,0.23922954890315903,LIQUIDITY_PROTECTION
428,2026-09-01,LIQUIDITY_PROTECTION,-0.03038638519818071,0.34405572522161276,0.31366934002343205,LIQUIDITY_PROTECTION
430,2026-09-01,LIQUIDITY_PROTECTION,0.08386799585140456,0.10170360820581897,0.18557160405722353,NO_SIMULATED_BENEFIT
487,2026-09-01,LIQUIDITY_PROTECTION,0.16228575215413912,0.11809087886591288,0.280376631020052,NO_SIMULATED_BENEFIT
494,2026-09-01,LIQUIDITY_PROTECTION,-0.042437804239665006,0.2564281168292821,0.21399031258961712,LIQUIDITY_PROTECTION
505,2026-09-01,LIQUIDITY_PROTECTION,-0.0709454228760356,0.13384248910621302,0.06289706623017742,LIQUIDITY_PROTECTION
507,2026-09-01,LIQUIDITY_PROTECTION,0.11905705554443172,0.19964474581740202,0.31870180136183374,NO_SIMULATED_BENEFIT
515,2026-09-01,LIQUIDITY_PROTECTION,0.037118153573339835,0.19029411086015216,0.227412264433492,NO_SIMULATED_BENEFIT
536,2026-09-01,LIQUIDITY_PROTECTION,-0.18377404505070333,0.2514493899265507,0.06767534487584737,LIQUIDITY_PROTECTION
540,2026-09-01,LIQUIDITY_PROTECTION,-0.05419315637167493,0.2545227818896222,0.20032962551794725,LIQUIDITY_PROTECTION
560,2026-09-01,LIQUIDITY_PROTECTION,-0.02401562850339367,0.2423812460036469,0.21836561750025324,LIQUIDITY_PROTECTION
568,2026-09-01,LIQUIDITY_PROTECTION,0.13669932766830356,0.10004721732599006,0.23674654499429362,NO_SIMULATED_BENEFIT
576,2026-09-01,LIQUIDITY_PROTECTION,-0.14502226297534804,0.2858782949605843,0.14085603198523627,LIQUIDITY_PROTECTION
586,2026-09-01,LIQUIDITY_PROTECTION,0.01796752364970214,0.12981710631246637,0.1477846299621685,NO_SIMULATED_BENEFIT
595,2026-09-01,LIQUIDITY_PROTECTION,0.07971390144282567,0.20315832040615048,0.28287222184897615,NO_SIMULATED_BENEFIT
615,2026-09-01,LIQUIDITY_PROTECTION,-0.1090411972252758,0.2749153215042763,0.16587412427900047,LIQUIDITY_PROTECTION
620,2026-09-01,LIQUIDITY_PROTECTION,0.156021672963543,0.12833997621114732,0.2843616491746903,NO_SIMULATED_BENEFIT
628,2026-09-01,LIQUIDITY_PROTECTION,-0.08199232440578555,0.1169443803677845,0.03495205596199895,LIQUIDITY_PROTECTION
660,2026-09-01,LIQUIDITY_PROTECTION,0.10738217228546734,0.08553672653452077,0.1929188988199881,NO_SIMULATED_BENEFIT
676,2026-09-01,LIQUIDITY_PROTECTION,0.1113642426045151,0.10170360820581897,0.21306785081033408,NO_SIMULATED_BENEFIT
681,2026-09-01,LIQUIDITY_PROTECTION,-0.14826984473103344,0.24632631311952044,0.09805646838848701,LIQUIDITY_PROTECTION
687,2026-09-01,LIQUIDITY_PROTECTION,-0.07448504157928082,0.12573095524801264,0.05124591366873183,LIQUIDITY_PROTECTION
692,2026-09-01,LIQUIDITY_PROTECTION,-0.2709402366595227,0.3852882864214314,0.11434804976190872,LIQUIDITY_PROTECTION
696,2026-09-01,LIQUIDITY_PROTECTION,-0.23401662612135302,0.27530242618412504,0.041285800062772014,LIQUIDITY_PROTECTION
703,2026-09-01,LIQUIDITY_PROTECTION,0.006653891569865539,0.22907798929258352,0.23573188086244906,NO_SIMULATED_BENEFIT
727,2026-09-01,LIQUIDITY_PROTECTION,-0.20248280683722808,0.3551373686457003,0.1526545618084722,LIQUIDITY_PROTECTION
729,2026-09-01,LIQUIDITY_PROTECTION,0.1303848698034031,0.1862499971916323,0.3166348669950354,NO_SIMULATED_BENEFIT
738,2026-09-01,LIQUIDITY_PROTECTION,0.02091210665183088,0.23180846059486135,0.25272056724669223,NO_SIMULATED_BENEFIT
744,2026-09-01,LIQUIDITY_PROTECTION,-0.07189566604494696,0.12233536368725031,0.05043969764230336,LIQUIDITY_PROTECTION
750,2026-09-01,LIQUIDITY_PROTECTION,0.18292961658137363,0.10856317311967305,0.2914927897010467,NO_SIMULATED_BENEFIT
754,2026-09-01,LIQUIDITY_PROTECTION,0.03141338271233718,0.2554537384402339,0.28686712115257107,NO_SIMULATED_BENEFIT
801,2026-09-01,LIQUIDITY_PROTECTION,0.13664048868169898,0.08977243955166496,0.22641292823336395,NO_SIMULATED_BENEFIT
824,2026-09-01,LIQUIDITY_PROTECTION,0.09298556076099954,0.24697406737951402,0.33995962814051356,NO_SIMULATED_BENEFIT
827,2026-09-01,LIQUIDITY_PROTECTION,-0.022051602288496286,0.24826450646150158,0.2262129041730053,LIQUIDITY_PROTECTION
848,2026-09-01,LIQUIDITY_PROTECTION,-0.028214102388294027,0.18902284159590493,0.1608087392076109,LIQUIDITY_PROTECTION
891,2026-09-01,LIQUIDITY_PROTECTION,0.012503951035842648,0.13039947368397958,0.14290342471982223,NO_SIMULATED_BENEFIT
918,2026-09-01,LIQUIDITY_PROTECTION,-0.07746757937214221,0.3268661829685493,0.2493986035964071,LIQUIDITY_PROTECTION
923,2026-09-01,LIQUIDITY_PROTECTION,0.17809486495109875,0.20291627885279964,0.3810111438038984,NO_SIMULATED_BENEFIT
930,2026-09-01,LIQUIDITY_PROTECTION,0.05661305670900303,0.1031619415391523,0.15977499824815533,NO_SIMULATED_BENEFIT
937,2026-09-01,LIQUIDITY_PROTECTION,0.17032620882845007,0.19842114558780533,0.3687473544162554,NO_SIMULATED_BENEFIT
938,2026-09-01,LIQUIDITY_PROTECTION,0.15620917247199115,0.23806385434319574,0.3942730268151869,NO_SIMULATED_BENEFIT
940,2026-09-01,LIQUIDITY_PROTECTION,-0.003059336513793809,0.10216716197293504,0.09910782545914124,LIQUIDITY_PROTECTION
942,2026-09-01,LIQUIDITY_PROTECTION,0.06603585044645197,0.20636354769661389,0.27239939814306585,NO_SIMULATED_BENEFIT
948,2026-09-01,LIQUIDITY_PROTECTION,-0.07287484356664559,0.13750528913889798,0.06463044557225239,LIQUIDITY_PROTECTION
953,2026-09-01,LIQUIDITY_PROTECTION,-0.025663739641214933,0.351660110715454,0.32599637107423907,LIQUIDITY_PROTECTION
962,2026-09-01,LIQUIDITY_PROTECTION,0.20550321137447813,0.11464869167503537,0.3201519030495135,NO_SIMULATED_BENEFIT
965,2026-09-01,LIQUIDITY_PROTECTION,0.061718080613149984,0.13721969125915662,0.1989377718723066,NO_SIMULATED_BENEFIT
967,2026-09-01,LIQUIDITY_PROTECTION,-0.0689217610393089,0.1919909493176819,0.123069188278373,LIQUIDITY_PROTECTION
977,2026-09-01,LIQUIDITY_PROTECTION,0.11684629970987745,0.23109369019399476,0.3479399899038722,NO_SIMULATED_BENEFIT
990,2026-09-01,LIQUIDITY_PROTECTION,-0.02429958908684074,0.2369376686847131,0.21263807959787237,LIQUIDITY_PROTECTION
993,2026-09-01,LIQUIDITY_PROTECTION,0.2608555812631643,0.11744591686459013,0.37830149812775443,NO_SIMULATED_BENEFIT
997,2026-09-01,LIQUIDITY_PROTECTION,0.07450318727216182,0.25412561703036224,0.32862880430252406,NO_SIMULATED_BENEFIT
9,2026-09-01,OBLIGATION_MANAGEMENT,-0.3863593712710318,0.5563477061766301,0.16998833490559825,OBLIGATION_MANAGEMENT
20,2026-09-01,OBLIGATION_MANAGEMENT,-0.13950558871426783,0.30121858127875456,0.16171299256448673,OBLIGATION_MANAGEMENT
31,2026-09-01,OBLIGATION_MANAGEMENT,-0.2085461523530044,0.4772546003345309,0.2687084479815265,OBLIGATION_MANAGEMENT
44,2026-09-01,OBLIGATION_MANAGEMENT,0.027731842462065087,0.1886463132376716,0.21637815569973667,NO_SIMULATED_BENEFIT
50,2026-09-01,OBLIGATION_MANAGEMENT,-0.2546802132657019,0.4108481857196549,0.15616797245395303,OBLIGATION_MANAGEMENT
75,2026-09-01,OBLIGATION_MANAGEMENT,-0.05560354399692147,0.23443936080919547,0.178835816812274,OBLIGATION_MANAGEMENT
90,2026-09-01,OBLIGATION_MANAGEMENT,-0.20152552192746634,0.4219270836879964,0.22040156176053008,OBLIGATION_MANAGEMENT
95,2026-09-01,OBLIGATION_MANAGEMENT,-0.23493552835629525,0.4685171200280607,0.23358159167176543,OBLIGATION_MANAGEMENT
101,2026-09-01,OBLIGATION_MANAGEMENT,-0.2585646179614448,0.4843574949392156,0.2257928769777708,OBLIGATION_MANAGEMENT
