intervention_category,feature,treatment_mean,control_mean,absolute_difference,smd,balanced
LIQUIDITY_PROTECTION,risk_probability,0.2720194409292003,0.3413349467787476,0.06931550584954732,0.16946127238544403,True
LIQUIDITY_PROTECTION,cash_buffer_ratio,0.2176589898783047,0.20581857401650122,0.011840415861803483,0.06536556195665003,True
LIQUIDITY_PROTECTION,expense_pressure,0.9671120571928048,0.9529320674044186,0.014179989788386194,0.1263360153653239,True
LIQUIDITY_PROTECTION,spending_growth,0.14287406954912826,0.04386915712542671,0.09900491242370155,0.15452083781006856,True
LIQUIDITY_PROTECTION,discretionary_pressure,0.16162376999666345,0.12522723035593994,0.03639653964072351,0.2972855091711804,False
LIQUIDITY_PROTECTION,recurring_spending,27346.012083333335,29230.07391304348,1884.0618297101464,0.12422132434441639,True
LIQUIDITY_PROTECTION,balance_growth,0.04171743691962379,-1.5924960484627482,1.634213485382372,0.2976271938440578,False
SPENDING_CONTROL,risk_probability,8.594428852810736e-05,0.00019775355373085476,0.0001118092652027474,0.7505656103397398,False
SPENDING_CONTROL,cash_buffer_ratio,2.0348199603641084,2.4199148228608336,0.3850948624967252,0.44441218219676565,False
SPENDING_CONTROL,expense_pressure,1.0871597739895693,1.111938422450069,0.024778648460499708,0.13055836062002987,True
SPENDING_CONTROL,spending_growth,0.6856578577098061,1.1069257799461525,0.42126792223634635,0.6065612684929104,False
SPENDING_CONTROL,discretionary_pressure,0.5710823215032429,0.6217071003302748,0.05062477882703187,0.6838389314961723,False
SPENDING_CONTROL,recurring_spending,21876.120000000003,8858.758333333333,13017.36166666667,0.8844875565169518,False
SPENDING_CONTROL,balance_growth,-0.02169602969551316,-0.028446790789249544,0.006750761093736384,0.10192187436967419,True
OBLIGATION_MANAGEMENT,risk_probability,0.00021348076160017688,0.00289156709848654,0.002678086336886363,0.47866145776475966,False
OBLIGATION_MANAGEMENT,cash_buffer_ratio,1.9387020022965413,1.9069685518803963,0.03173345041614506,0.027956711940877767,True
OBLIGATION_MANAGEMENT,expense_pressure,1.0661314789653598,1.053861176612562,0.01227030235279769,0.22154526442832714,False
OBLIGATION_MANAGEMENT,spending_growth,0.36744148994977865,0.3334008323757982,0.03404065757398045,0.0527637186793821,True
OBLIGATION_MANAGEMENT,discretionary_pressure,0.2648875743429143,0.26564402762127937,0.0007564532783650435,0.005750373128852858,True
OBLIGATION_MANAGEMENT,recurring_spending,26434.694375,17009.723571428574,9424.970803571425,0.9547738208453201,False
OBLIGATION_MANAGEMENT,balance_growth,-0.029447885272102483,-0.02588672473622074,0.0035611605358817425,0.11401234945884113,True
