intervention_category,feature,treatment_mean,control_mean,absolute_difference,smd,balanced
LIQUIDITY_PROTECTION,risk_probability,0.09962625594232936,0.10873562407989143,0.009109368137562066,0.03355807918198282,True
LIQUIDITY_PROTECTION,cash_buffer_ratio,0.8114617605975804,0.7995578305515522,0.011903930046028188,0.021494588824398322,True
LIQUIDITY_PROTECTION,expense_pressure,0.9825393136267685,0.9636919517960971,0.018847361830671372,0.19457754379679365,True
LIQUIDITY_PROTECTION,spending_growth,0.09467399661017903,0.03655447654811356,0.05811952006206547,0.10764471991656403,True
LIQUIDITY_PROTECTION,discretionary_pressure,0.19631166009457457,0.2038612056195534,0.007549545524978829,0.05486625104310833,True
LIQUIDITY_PROTECTION,recurring_spending,18365.03829268293,20143.66024390244,1778.6219512195094,0.1693320723628537,True
LIQUIDITY_PROTECTION,balance_growth,-0.02495632857811686,-0.8799462781675166,0.8549899495893998,0.2079107090207266,False
SPENDING_CONTROL,risk_probability,0.0001237220962872873,0.0005755042609756549,0.0004517821646883676,0.14870784950956967,True
SPENDING_CONTROL,cash_buffer_ratio,2.349049423116331,2.3268852680479677,0.02216415506836311,0.018875947751932517,True
SPENDING_CONTROL,expense_pressure,0.8426497970968264,0.8417856897633692,0.0008641073334572091,0.005773651089818452,True
SPENDING_CONTROL,spending_growth,0.5717132612524187,0.5347251012838109,0.036988159968607826,0.08058052947148288,True
SPENDING_CONTROL,discretionary_pressure,0.2732311355521965,0.2584665249365217,0.0147646106156748,0.10758943239162802,True
SPENDING_CONTROL,recurring_spending,20977.70914285714,19448.15436619718,1529.5547766599593,0.09728645442526078,True
SPENDING_CONTROL,balance_growth,0.06505738211545874,0.06350608707548137,0.0015512950399773628,0.025043257733567092,True
OBLIGATION_MANAGEMENT,risk_probability,0.00011002560987301254,0.00011892592412837001,8.900314255357467e-06,0.07652506421809005,True
OBLIGATION_MANAGEMENT,cash_buffer_ratio,2.147222416120893,2.1126934110634505,0.0345290050574425,0.04511043379775724,True
OBLIGATION_MANAGEMENT,expense_pressure,0.9096502730877732,0.9067372358054373,0.0029130372823359396,0.049122429292726526,True
OBLIGATION_MANAGEMENT,spending_growth,-0.015852647886876074,-0.056926404081960945,0.04107375619508487,0.08660430764543783,True
OBLIGATION_MANAGEMENT,discretionary_pressure,0.10729307698386044,0.11285973409706071,0.005566657113200271,0.06998676422775167,True
OBLIGATION_MANAGEMENT,recurring_spending,44247.65815789474,45474.24435897436,1226.5862010796263,0.07139085571801002,True
OBLIGATION_MANAGEMENT,balance_growth,0.03428807625892554,0.035290466219963956,0.0010023899610384149,0.04399576872087933,True
