user_id,month,salary_income,bonus_income,total_income,total_debits,variable_spending,essential_spending,discretionary_spending,recurring_spending,transaction_count,debit_transaction_count,credit_transaction_count,transactions_per_day,debit_transactions_per_day,average_transaction,median_transaction,transaction_amount_std,starting_balance,ending_balance,minimum_balance,maximum_balance,average_balance,net_cash_flow,savings_rate,income_to_expense_ratio,essential_spending_ratio,discretionary_spending_ratio,minimum_balance_ratio,average_balance_ratio,balance_change,financial_state,previous_financial_state,state_changed,state_transition,state_duration,recent_state_change,historical_spending_mean,historical_spending_std,spending_baseline_deviation,spending_baseline_ratio,transaction_count_change,savings_rate_change,rolling_spending_mean,rolling_spending_std,rolling_spending_min,rolling_spending_max,rolling_income_mean,income_volatility,rolling_average_balance,rolling_minimum_balance,rolling_savings_rate,rolling_transaction_count,rolling_net_cash_flow,spending_growth,discretionary_spending_growth,income_growth,balance_growth,spending_acceleration,cash_buffer,cash_buffer_ratio,expense_pressure,discretionary_pressure,negative_cash_flow,category_shift,has_full_history,prediction_date,prediction_balance,horizon_end,minimum_future_balance,ending_future_balance,future_net_cash_flow,future_income,future_expenses,negative_cashflow_days,required_obligations,obligation_coverage,future_transaction_count,future_discretionary_spending,future_essential_spending,critical_liquidity,obligation_failure,severe_liquidity_drawdown,liquidity_ratio,financial_stress_30d,risk_probability,liquidity_pressure_score,spending_pressure_score,obligation_pressure_score,max_pressure_score,pressure_state,pressure_severity,eligibility_threshold,eligible,intervention_category,treatment,control,randomization_stratum,randomization_balance_score,synthetic_financial_stress_30d,synthetic_cash_buffer_change,synthetic_savings_rate_change,synthetic_discretionary_spending_change,predicted_outcome_control,predicted_outcome_treatment,cate,absolute_effect,cate_estimation_type
4,2026-09-01,58557.49,0.0,58557.49,51943.81,31822.75,13637.83,18184.92,20121.06,131,130,1,4.366666666666666,4.333333333333333,843.5213740458014,205.27,5333.325946286997,149879.95,156493.63,99779.01,158336.5,116802.61259541984,6613.68,0.1129433655711677,1.127323736938049,0.4285559858905971,0.5714440141094029,1.703949571609029,1.9946656285202773,6613.679999999993,RECOVERY,SPENDING_PRESSURE,True,SPENDING_PRESSURE->RECOVERY,1,1,30650.16375,3431.6393242794425,1172.5862500000003,1.0382570957716335,-41.0,0.0679254188945178,32096.369999999995,2680.325196165564,29563.35,34903.009999999995,58156.420000000006,484.63384044038656,113899.24468643396,91488.02,0.1018839412452161,160.66666666666666,5938.9900000000025,-0.0882519874360404,-0.1881710397438563,0.0163070822943767,0.0441265159215757,-0.2688695426183861,99779.01,1.703949571609029,0.8870566344288322,0.3105481467870293,0,0.15149016783145,True,2026-09-30,156493.63,2026-10-30,108145.95000000006,165981.19000000006,9487.560000000003,58674.48,49186.92,29,20121.06,10.693676675085706,162,16064.449999999995,33122.47,False,False,False,0.6910565624939498,0,0.0002117875167229,0.7605999999999999,0.6313,0.7214499999999999,0.7605999999999999,LIQUIDITY_PRESSURE,0.7605999999999999,0.7522249999999999,True,LIQUIDITY_PROTECTION,0,1,LIQUIDITY_PROTECTION_LOW,0.2079107090207266,0,-0.041158099090404,0.0126152763149872,0.0385051085300089,0.3362995381190299,0.2556641692824971,-0.08063536883653283,0.08063536883653283,in_sample
32,2026-09-01,42321.15,0.0,42321.15,43034.19000000001,15271.53,7987.96,7283.570000000001,27762.660000000003,102,101,1,3.4,3.3666666666666667,836.8170588235294,83.33500000000001,4524.206747542391,56379.2,55666.16,42800.66,85121.81,61414.7718627451,-713.0400000000081,-0.0168483134319367,0.9834308488204376,0.5230621948161055,0.4769378051838945,1.0113302686718106,1.4511602794996143,-713.0399999999936,LIQUIDITY_STRESS,SPENDING_PRESSURE,True,SPENDING_PRESSURE->LIQUIDITY_STRESS,2,1,10513.9025,1552.224205314517,4757.6275000000005,1.4525082384966002,-49.0,-0.0508190114443455,13138.786666666669,2168.550649958018,10936.12,15271.53,42366.40666666667,45.496872785996125,61185.36689782452,37957.48,0.0345604415825748,126.0,1464.9600000000016,0.1561711930990992,1.1520563042367051,-0.0021453763002762,-0.012647217413514,-0.0516346832080372,42800.66,1.0113302686718106,1.0168483134319366,0.1721023648932035,1,0.2517883868660617,True,2026-09-30,55666.16,2026-10-30,41692.96000000001,59504.43000000005,3838.270000000004,41599.03,37760.76,28,27762.660000000003,3.5034535595652576,90,1934.139999999992,35826.62,False,False,False,0.7489821464243268,0,0.0001160067936412,0.91515,0.7715,0.86835,0.91515,LIQUIDITY_PRESSURE,0.91515,0.7522249999999999,True,LIQUIDITY_PROTECTION,1,0,LIQUIDITY_PROTECTION_HIGH,0.2079107090207266,0,0.1215996985580726,0.0090009741617826,-0.0122752590083222,0.3431349617901807,0.11234529479102551,-0.2307896669991552,0.2307896669991552,in_sample
53,2026-09-01,20000.0,0.0,20000.0,20651.05,3506.91,2904.1,602.8100000000001,17144.14,175,174,1,5.833333333333333,5.8,232.2917142857143,20.0,1702.865026783016,43466.35,42815.3,23054.2,43446.35,27836.24628571429,-651.0499999999993,-0.0325524999999999,0.968473757992935,0.8281079354759603,0.1718920645240397,1.15271,1.3918123142857144,-651.0499999999956,LIQUIDITY_STRESS,SPENDING_PRESSURE,True,SPENDING_PRESSURE->LIQUIDITY_STRESS,5,1,4972.48625,2201.8749782916348,-1465.57625,0.7052628853423174,-37.0,-0.0325852708743547,3917.863333333333,533.4611454767191,3506.91,4520.73,20555.193333333333,961.6230613568584,29041.13278664604,22423.68,-0.0253414097085484,192.0,-506.80999999999887,-0.2242602411557425,-0.4940662033773122,-0.0768767787430569,-0.0149782532924893,-0.4375695985008488,23054.2,1.15271,1.0325525,0.0301405,1,0.0798159583511873,True,2026-09-30,42815.3,2026-10-30,20649.889999999992,43280.17,464.869999999999,22929.33,22464.460000000003,29,17144.14,3.834816444569399,201,1383.8100000000013,21080.65,False,False,False,0.4823016538480401,0,0.0003279706123153,0.90495,0.2406,0.7721999999999999,0.90495,LIQUIDITY_PRESSURE,0.90495,0.7522249999999999,True,LIQUIDITY_PROTECTION,0,1,LIQUIDITY_PROTECTION_HIGH,0.2079107090207266,0,0.0061918051101436,0.0087321504920229,-0.0101312591772521,0.3704220278749099,0.12534668164374613,-0.24507534623116378,0.24507534623116378,in_sample
58,2026-09-01,21569.22,0.0,21569.22,20473.17,7572.67,4413.410000000001,3159.2600000000007,12900.5,181,180,1,6.033333333333333,6.0,232.27839779005524,34.14,1755.0702776584749,59426.08,60522.13,40492.83,62062.05,48258.30712707182,1096.050000000003,0.0508154675968812,1.0535359204265875,0.5828076490854613,0.4171923509145388,1.8773432697148995,2.237369136532142,1096.0499999999956,RECOVERY,RECOVERY,False,NO_CHANGE,7,0,9661.06375,2953.3219431584275,-2088.393750000001,0.7838339748042755,-1.0,-0.0103608628827477,8349.066666666666,2726.5704889537205,6094.9,11379.63,22584.11333333333,2906.793954072655,46667.85996797012,36089.53,0.0590723293964385,177.33333333333334,1334.546666666669,-0.3345416327244382,-0.3059469672005096,-0.165997287943179,0.0184439222644332,-1.201615743866541,40492.83,1.8773432697148995,0.9491845324031188,0.1464707578669975,0,0.2232401551534412,True,2026-09-30,60522.13,2026-10-30,42119.37000000002,61887.88000000001,1365.75,20704.18,19338.43,29,12900.5,6.296369132979342,175,2897.3700000000026,16441.059999999998,False,False,False,0.6959333718096177,0,0.0001007203178375,0.7986000000000001,0.3218499999999999,0.67035,0.7986000000000001,LIQUIDITY_PRESSURE,0.7986000000000001,0.7522249999999999,True,LIQUIDITY_PROTECTION,1,0,LIQUIDITY_PROTECTION_LOW,0.2079107090207266,0,0.0737074015799783,0.0143469750438689,-0.0319240994326887,0.12073880714544875,0.2237106341183034,0.10297182697285463,0.10297182697285463,in_sample
68,2026-09-01,22155.31,0.0,22155.31,22200.59,2130.9,1430.9,700.0,20069.69,110,109,1,3.6666666666666665,3.633333333333333,403.23545454545456,20.0,2347.9074610105613,13789.84,13744.56,-6134.24,16021.07,4941.35890909091,-45.27999999999884,-0.0020437538450149,0.997960414565559,0.671500305035431,0.3284996949645689,-0.2768744829117714,0.2230327135612595,-45.280000000000655,LIQUIDITY_STRESS,LIQUIDITY_STRESS,False,NO_CHANGE,7,0,5138.63125,3237.619582243533,-3007.7312500000003,0.4146824117803744,-18.0,0.296288698876553,5568.193333333334,3918.528821143637,2130.9,9835.1,21996.926666666663,1123.896372106141,9810.344741494808,-6134.24,-0.1643176878914262,115.33333333333331,-3640.956666666665,-0.7833372309381704,-0.9128493651076248,-0.0381153663641615,-0.0032835768942932,-1.8588746282175244,0.0,0.0,1.0020437538450149,0.031595134529826,1,0.5128429785272525,True,2026-09-30,13744.56,2026-10-30,-11180.59,8248.039999999999,-5496.519999999997,21589.66,27086.18,29,20069.69,1.7605762719802849,107,5763.950000000001,21322.23,True,False,True,-0.813455650817487,1,0.8953240341759663,0.9724,0.1036499999999999,0.8023,0.9724,LIQUIDITY_PRESSURE,0.9724,0.7522249999999999,True,LIQUIDITY_PROTECTION,0,1,LIQUIDITY_PROTECTION_HIGH,0.2079107090207266,1,0.0178284112722548,0.0159065506121228,0.0038939529290047,0.3705107793318689,0.12053930273609575,-0.24997147659577312,0.24997147659577312,in_sample
84,2026-09-01,20000.0,0.0,20000.0,20895.88,3391.86,1216.6,2175.26,17504.02,154,153,1,5.133333333333334,5.1,265.5576623376623,20.0,1792.0324248714303,24.09,-871.79,-7771.31,12228.69,1647.4014285714284,-895.880000000001,-0.044794,0.9571264766068718,0.3586822569327743,0.6413177430672258,-0.3885655,0.0823700714285714,-895.88,LIQUIDITY_STRESS,LIQUIDITY_STRESS,False,NO_CHANGE,9,0,4008.55375,608.2393588743895,-616.6937500000004,0.8461555492426663,-6.0,-0.0001864999999999,3358.776666666666,54.10389295913294,3296.34,3391.86,20000.0,0.0,2738.8432866743474,-7771.31,-0.0431398333333333,156.33333333333334,-862.7966666666665,0.0011009022676224,0.1493561732863433,0.0,-37.18887505188875,-0.0267451330321342,0.0,0.0,1.044794,0.108763,1,0.0412894351115295,True,2026-09-30,-871.79,2026-10-30,-8877.58,-1793.8799999999987,-922.09,20000.0,20922.09,29,17504.02,1.092789542059481,167,2146.8600000000006,18775.23,True,False,False,0.0,1,0.9912386209604196,0.9874,0.5122,0.7867,0.9874,LIQUIDITY_PRESSURE,0.9874,0.7522249999999999,True,LIQUIDITY_PROTECTION,0,1,LIQUIDITY_PROTECTION_HIGH,0.2079107090207266,1,-0.4409815674465814,0.0065126246531878,0.0094984150706148,0.37125130519236865,0.1034034159522976,-0.2678478892400711,0.2678478892400711,in_sample
92,2026-09-01,56686.56,0.0,56686.56,54469.08,26701.03,12629.9,14071.13,27768.05,131,130,1,4.366666666666666,4.333333333333333,848.5163358778625,111.42,5351.32548114048,77661.16,79878.64,25666.78,82353.34,45906.33717557252,2217.480000000003,0.0391182671871428,1.040710803266734,0.4730117152783993,0.5269882847216006,0.4527842225740986,0.8098275354082611,2217.479999999996,RECOVERY,RECOVERY,False,NO_CHANGE,3,0,20150.74125,6178.815386880835,6550.288750000003,1.3250644067498014,-22.0,-0.0846778924489169,21515.9,4583.791130789014,18003.03,26701.03,55381.16,1195.8439235953906,41946.33961852909,18410.91,0.1108331404770553,142.0,6097.210000000004,0.3455711754496657,1.474675741507725,0.0432097992955284,0.028553269098736,0.2433322745535389,25666.78,0.4527842225740986,0.9608817328128572,0.2482269165742285,0,0.332558633909327,True,2026-09-30,79878.64,2026-10-30,38680.240000000005,90281.89,10403.25,53020.36,42617.11,27,27768.05,4.786040071232946,122,3687.239999999998,38929.87,False,False,False,0.4842375884216356,0,0.001384325578133,0.92865,0.8714999999999999,0.8409,0.92865,LIQUIDITY_PRESSURE,0.92865,0.7522249999999999,True,LIQUIDITY_PROTECTION,0,1,LIQUIDITY_PROTECTION_HIGH,0.2079107090207266,0,0.001159618511925,0.0223331255208353,-0.0130299368534176,0.23561634289530167,0.11714192779396711,-0.11847441510133457,0.11847441510133457,in_sample
96,2026-09-01,31172.51,0.0,31172.51,28629.3,3901.67,2379.54,1522.13,24727.63,89,88,1,2.966666666666667,2.933333333333333,671.9304494382023,38.96,3580.0727831170843,42216.15,44759.36,13707.44,44879.95,19567.054943820225,2543.209999999999,0.0815850247541824,1.0888324199334247,0.6098773089471944,0.3901226910528056,0.439728465882279,0.6277022589396948,2543.209999999999,RECOVERY,RECOVERY,False,NO_CHANGE,3,0,6159.245,3677.52770448533,-2257.575,0.6334656276865103,-2.0,-0.012093102532766,7697.423333333333,6421.855475891164,3901.67,15112.04,32283.866666666665,1428.7451963290478,18903.30184848028,5510.26,-3.513830298870757e-05,93.0,-141.18666666666832,-0.0433706994625554,0.0068062757963804,-0.0192271994190718,0.0602425848875372,0.6867411848363215,13707.44,0.439728465882279,0.9184149752458176,0.0488292408920552,0,0.0831554936171167,True,2026-09-30,44759.36,2026-10-30,44759.36,45440.85000000001,681.4900000000016,31172.51,30491.02,25,24727.63,3.070729786882123,62,2706.7700000000004,27784.25,False,False,False,1.0,0,0.0535472422953825,0.85415,0.32645,0.7421,0.85415,LIQUIDITY_PRESSURE,0.85415,0.7522249999999999,True,LIQUIDITY_PROTECTION,0,1,LIQUIDITY_PROTECTION_MEDIUM,0.2079107090207266,0,0.0148772682148557,0.0217076813176381,-0.0471168151782884,0.11982802550910568,0.24194727404194688,0.1221192485328412,0.1221192485328412,in_sample
115,2026-09-01,25663.49,0.0,25663.49,22410.97,10018.56,5033.19,4985.37,12392.410000000002,144,143,1,4.8,4.766666666666667,333.85041666666666,68.35,2211.185161123928,55968.78,59221.3,34881.77,60545.26,46259.07798611112,3252.5200000000004,0.126737244232955,1.1451307105404185,0.5023865705251054,0.4976134294748946,1.359198222844983,1.8025248314282707,3252.520000000004,STABLE,SPENDING_PRESSURE,True,SPENDING_PRESSURE->STABLE,4,1,8908.81125,1551.7879444548344,1109.7487499999988,1.124567545417465,6.0,-0.0050355512132699,9236.056666666664,2387.038642467552,6555.979999999999,11133.63,24830.476666666666,2777.976194828411,43135.840591329965,30682.5,0.1288566756288574,138.0,3202.01,-0.1001533192678399,-0.0304156553398057,-0.05289032145683,0.0581131123458471,-0.7983937043818891,34881.77,1.359198222844983,0.8732627557670449,0.1942592375393993,0,0.1118250522237649,True,2026-09-30,59221.3,2026-10-30,36231.12,63204.51,3983.2100000000014,27661.23,23678.02,28,12392.410000000002,7.010947023218243,141,5320.909999999996,18357.11,False,False,False,0.6117920410392882,0,0.0001304523188079,0.75385,0.5802499999999999,0.5527,0.75385,LIQUIDITY_PRESSURE,0.75385,0.7522249999999999,True,LIQUIDITY_PROTECTION,0,1,LIQUIDITY_PROTECTION_LOW,0.2079107090207266,0,-0.039000393677816,-0.032081405235235,0.0117099916864318,0.09981794048143139,0.3249167178643283,0.2250987773828969,0.2250987773828969,in_sample
123,2026-09-01,68765.5,0.0,68765.5,60269.35,38833.52,25830.18,13003.34,21435.83,152,151,1,5.066666666666666,5.033333333333333,848.9134868421053,221.27,5639.8259132657095,157341.28,165837.43,99418.08,168183.58,123385.77993421051,8496.150000000001,0.1235525081617962,1.140969663684775,0.6651516524899108,0.3348483475100892,1.445755211552305,1.7942977210114155,8496.149999999994,RECOVERY,RECOVERY,False,NO_CHANGE,4,0,33538.48375,4605.131770960793,5295.036249999997,1.1578794166566937,-20.0,0.0104336994506829,35625.21,3435.118163571671,32001.13,38833.52,65336.27333333334,3197.9057249133016,118670.32173291514,90176.27,0.1269323685021335,161.33333333333334,8275.233333333332,0.0774823548083321,-0.2089338315364521,0.0610684301995176,0.0539982260218043,-0.0487584998114891,99418.08,1.445755211552305,0.8764474918382037,0.1890968581628869,0,0.1750311436997591,True,2026-09-30,165837.43,2026-10-30,107433.46999999988,173194.08999999988,7356.6600000000035,66911.44,59554.78,29,21435.83,10.857935988482836,182,18220.530000000013,41334.24999999999,False,False,False,0.6478240165685146,0,6.151259630129148e-05,0.7575,0.74965,0.7043999999999999,0.7575,LIQUIDITY_PRESSURE,0.7575,0.7522249999999999,True,LIQUIDITY_PROTECTION,1,0,LIQUIDITY_PROTECTION_LOW,0.2079107090207266,0,0.1068219249580318,0.0178291514334333,-0.0622009736611157,0.21758010577725148,0.23327649360206906,0.01569638782481758,0.01569638782481758,in_sample
